Sentence,Words,Entity
,?,O
Sentence: 2747,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,television,B-E
,shows,I-E
,whose,O
,theme,B-E
,music,I-E
,composer's,I-E
,home,B-E
,town,I-E
,is,O
,New,B-E
,York,I-E
,?,O
Sentence: 2748,What,O
,is,O
,the,O
,musical,B-E
,band,I-E
,of,O
,the,O
,Take,B-E
,Me,I-E
,There,I-E
,(Blackstreet,I-E
,&,I-E
,Ma,I-E
,song),I-E
,and,O
,associated,B-E
,band,I-E
,of,O
,the,O
,Blayse,B-E
Sentence: 2749,Who,O
,is,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,successor,B-E
,is,O
,Artr,B-E
,Grgei,I-E
,?,O
Sentence: 2750,Whose,O
,successors,B-E
,are,O
,Robert,B-E
,P.,I-E
,Smith,I-E
,and,O
,Adrian,B-E
,A.,I-E
,Basora,I-E
,?,O
Sentence: 2751,Give,O
,me,O
,a,O
,count,O
,of,O
,movies,B-E
,whose,O
,editor,B-E
,is,O
,Mark,B-E
,Stevens,I-E
,(film,I-E
,editor),I-E
,?,O
Sentence: 2752,How,O
,many,O
,awards,B-E
,are,O
,there,O
,of,O
,the,O
,people,B-E
,whose,O
,recognition,B-E
,title,I-E
,is,O
,Golden,B-E
,Globe,I-E
,Award,I-E
,?,O
Sentence: 2753,What,O
,is,O
,the,O
,mountain,B-E
,whose,O
,located,B-E
,in,I-E
,area,I-E
,is,O
,California,B-E
,and,O
,parent,B-E
,mountain,I-E
,peak,I-E
,is,O
,Nevado,B-E
,de,I-E
,Toluca,I-E
,?,O
Sentence: 2754,Who,O
,is,O
,the,O
,person,B-E
,whose,O
,workplace,B-E
,is,O
,The,B-E
,American,I-E
,Magazine,I-E
,?,O
Sentence: 2755,What,O
,is,O
,the,O
,software,B-E
,whose,O
,writer's,B-E
,workplace,B-E
,is,O
,Cockroach,B-E
,Labs,I-E
,?,O
Sentence: 2756,What,O
,is,O
,the,O
,college,B-E
,of,O
,the,O
,national,B-E
,collegiate,I-E
,athletic,I-E
,association,I-E
,athlete,I-E
,whose,O
,highschool,B-E
,is,O
,Palm,B-E
,City,I-E
,Florida,I-E
,?,O
Sentence: 2757,What,O
,is,O
,the,O
,broadcast,B-E
,area,I-E
,of,O
,the,O
,radio,B-E
,stations,I-E
,whose,O
,sister,B-E
,station,I-E
,is,O
,CKFM-FM,B-E
,?,O
Sentence: 2758,What,O
,is,O
,the,O
,soccer,B-E
,player,I-E
,whose,O
,currentclub,B-E
,is,O
,New,B-E
,York,I-E
,City,I-E
,FC,I-E
,and,O
,nationalteam,B-E
,is,O
,Spain,B-E
,national,I-E
,football,I-E
,team,I-E
,?,O
Sentence: 2759,Is,O
,Texas,B-E
,the,O
,source,B-E
,mountain,I-E
,of,O
,San,B-E
,Marcos,I-E
,River,I-E
,?,O
Sentence: 2760,What,O
,is,O
,the,O
,stadium,B-E
,whose,O
,operator's,B-E
,employment,B-E
,is,O
,Pepsi,B-E
,Center,I-E
,?,O
Sentence: 2761,What,O
,is,O
,the,O
,academic,B-E
,discipline,I-E
,of,O
,the,O
,Journal,B-E
,of,I-E
,Cerebral,I-E
,Blood,I-E
,Flow,I-E
,&,I-E
,Metabolism,I-E
,and,O
,ingredient,B-E
,of,O
,the,O
,Ragout,B-E
,fin,I-E
Sentence: 2762,Is,O
,Motherland,B-E
,(anthem),I-E
,the,O
,national,B-E
,anthem,I-E
,of,O
,Mauritius,B-E
,?,O
Sentence: 2763,What,O
,are,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,cast,B-E
,member,I-E
,is,O
,Jason,B-E
,Carter,I-E
,(actor),I-E
,?,O
Sentence: 2764,What,O
,is,O
,the,O
,mouth,B-E
,country,I-E
,of,O
,the,O
,place,B-E
,whose,O
,right,B-E
,tributary,I-E
,is,O
,Bjelimićka,B-E
,Rijeka,I-E
,?,O
Sentence: 2765,What,O
,is,O
,the,O
,parent,B-E
,company,I-E
,of,O
,the,O
,automobile,B-E
,whose,O
,automobile,B-E
,platform,I-E
,is,O
,Front-engine,B-E
,rear-wheel-drive,I-E
,layout,I-E
,?,O
Sentence: 2766,What,O
,is,O
,the,O
,mascot,B-E
,of,O
,the,O
,military,B-E
,unit,I-E
,which,O
,is,O
,the,O
,branch,B-E
,of,O
,Ronald,B-E
,Wilson,I-E
,?,O
Sentence: 2767,Is,O
,Jerry,B-E
,Siegel,I-E
,the,O
,creators,B-E
,of,O
,Lois,B-E
,Lane,I-E
,?,O
Sentence: 2768,What,O
,is,O
,the,O
,official,B-E
,residence,I-E
,of,O
,Truman,O
,McGill,O
,Hobbs,O
,?,O
Sentence: 2769,How,O
,many,O
,american,B-E
,football,I-E
,Teams,I-E
,are,O
,there,O
,whose,O
,city,B-E
,is,O
,Pennsylvania,B-E
,?,O
Sentence: 2770,What,O
,is,O
,the,O
,sports,B-E
,team,I-E
,whose,O
,mascot,B-E
,is,O
,Aubie,B-E
,?,O
Sentence: 2771,What,O
,is,O
,the,O
,religious,B-E
,affiliation,I-E
,of,O
,Hong,O
,Kong,O
,Taoist,O
,Association,O
,Tang,O
,Hin,O
,Memorial,O
,Secondary,O
,School,O
,?,O
Sentence: 2772,What,O
,is,O
,the,O
,in,B-E
,action,I-E
,of,O
,the,O
,politician,B-E
,whose,O
,official,B-E
,residence,I-E
,is,O
,Gales,B-E
,Ferry,I-E
,Connecticut,I-E
,?,O
Sentence: 2773,What,O
,are,O
,the,O
,software,B-E
,whose,O
,operating,B-E
,systems,I-E
,are,O
,Mac,B-E
,OS,I-E
,and,O
,Microsoft,B-E
,Windows,I-E
,?,O
Sentence: 2774,Whose,O
,past,B-E
,memberss,I-E
,are,O
,Nick,B-E
,Jonas,I-E
,and,O
,Kevin,B-E
,Jonas,I-E
,?,O
Sentence: 2775,Who,O
,are,O
,the,O
,royalties,B-E
,whose,O
,location,B-E
,of,I-E
,burial,I-E
,is,O
,Rome,B-E
,?,O
Sentence: 2776,Is,O
,Gaza,B-E
,Strip,I-E
,the,O
,result,B-E
,of,O
,Operation,B-E
,Autumn,I-E
,Clouds,I-E
,?,O
Sentence: 2777,Who,O
,is,O
,the,O
,performer,B-E
,of,O
,the,O
,The,B-E
,Bare,I-E
,Necessities,I-E
,and,O
,actor,B-E
,of,O
,the,O
,Rock-a-Doodle,B-E
Sentence: 2778,What,O
,is,O
,the,O
,parent,B-E
,company,I-E
,of,O
,the,O
,Cornell,B-E
,University,I-E
,Press,I-E
,and,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,Mario,B-E
,Garca,I-E
,Menocal,I-E
Sentence: 2779,List,O
,the,O
,faith,B-E
,of,O
,the,O
,people,B-E
,whose,O
,official,B-E
,residence,I-E
,is,O
,England,B-E
,.,O
Sentence: 2780,What,O
,is,O
,the,O
,birthplace,B-E
,of,O
,MacKenzie,O
,Miller,O
,?,O
Sentence: 2781,Is,O
,Arlington,B-E
,County,I-E
,Virginia,I-E
,the,O
,garrison,B-E
,of,O
,United,B-E
,States,I-E
,Navy,I-E
,?,O
Sentence: 2782,What,O
,is,O
,the,O
,occupation,B-E
,of,O
,the,O
,Arthur,B-E
,D.,I-E
,Levinson,I-E
,and,O
,developed,B-E
,by,I-E
,of,O
,the,O
,Sherlock,B-E
,(software),I-E
Sentence: 2783,What,O
,is,O
,the,O
,incumbent,B-E
,of,O
,the,O
,politician,B-E
,whose,O
,opponent,B-E
,is,O
,John,B-E
,Hospers,I-E
,?,O
Sentence: 2784,What,O
,is,O
,the,O
,birthplace,B-E
,of,O
,the,O
,netball,B-E
,player,I-E
,who,O
,is,O
,the,O
,relatives,B-E
,of,O
,Rachel,B-E
,Rasmussen,I-E
,?,O
Sentence: 2785,What,O
,is,O
,the,O
,venerated,B-E
,in,I-E
,of,O
,the,O
,religious,B-E
,who,O
,is,O
,the,O
,binomial,B-E
,authority,I-E
,of,O
,Ceratosoma,B-E
,tenue,I-E
,?,O
Sentence: 2786,What,O
,is,O
,the,O
,birth,B-E
,location,I-E
,of,O
,the,O
,pope,B-E
,who,O
,is,O
,the,O
,canonized,B-E
,by,I-E
,of,O
,Agatha,B-E
,of,I-E
,Sicily,I-E
,?,O
Sentence: 2787,What,O
,is,O
,the,O
,city,B-E
,of,O
,the,O
,television,B-E
,station,I-E
,whose,O
,broadcast,B-E
,network,I-E
,is,O
,SCOLA,B-E
,(TV,I-E
,service),I-E
,?,O
Sentence: 2788,Who,O
,are,O
,the,O
,scientists,B-E
,whose,O
,prizes,B-E
,is,O
,Gold,B-E
,Medal,I-E
,of,I-E
,the,I-E
,Royal,I-E
,Astronomical,I-E
,Society,I-E
,?,O
Sentence: 2789,Who,O
,are,O
,the,O
,band,B-E
,member,I-E
,of,O
,Skull,O
,Gang,O
,?,O
Sentence: 2790,What,O
,is,O
,the,O
,die,B-E
,from,I-E
,of,O
,Letitia,O
,MacTavish,O
,Hargrave,O
,?,O
Sentence: 2791,What,O
,is,O
,the,O
,destination,B-E
,of,O
,the,O
,Novair,B-E
,International,I-E
,Airways,I-E
,and,O
,origin,B-E
,of,O
,the,O
,Spaghetti,B-E
,squash,I-E
Sentence: 2792,Who,O
,is,O
,the,O
,film,B-E
,director,I-E
,of,O
,the,O
,Alice's,B-E
,Wonderland,I-E
,and,O
,animator,B-E
,of,O
,the,O
,Tommy,B-E
,Tucker's,I-E
,Tooth,I-E
Sentence: 2793,What,O
,is,O
,the,O
,PLACE,B-E
,OF,I-E
,DEATH,I-E
,of,O
,the,O
,president,B-E
,who,O
,is,O
,the,O
,President,B-E
,of,O
,Haqqi,B-E
,al-Azm,I-E
,?,O
Sentence: 2794,What,O
,is,O
,the,O
,mouth,B-E
,country,I-E
,of,O
,Upper,O
,Neretva,O
,?,O
Sentence: 2795,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,writers,B-E
,are,O
,Erik,B-E
,Jendresen,I-E
,and,O
,Graham,B-E
,Yost,I-E
,?,O
Sentence: 2796,What,O
,is,O
,the,O
,movie,B-E
,whose,O
,music,B-E
,is,O
,Laurie,B-E
,Johnson,I-E
,and,O
,film,B-E
,editor,I-E
,is,O
,Anthony,B-E
,Harvey,I-E
,?,O
Sentence: 2797,What,O
,is,O
,the,O
,astronaut,B-E
,which,O
,is,O
,a,O
,NASA,B-E
,and,O
,mission,B-E
,is,O
,Gemini,B-E
,8,I-E
,?,O
Sentence: 2798,What,O
,is,O
,the,O
,died,B-E
,in,I-E
,of,O
,the,O
,people,B-E
,whose,O
,craft,B-E
,is,O
,Church,B-E
,of,I-E
,England,I-E
,?,O
Sentence: 2799,What,O
,is,O
,the,O
,assembly,B-E
,of,O
,the,O
,Plymouth,B-E
,Savoy,I-E
,and,O
,route,B-E
,end,I-E
,of,O
,the,O
,NorthSouth,B-E
,Transport,I-E
,Corridor,I-E
Sentence: 2800,What,O
,is,O
,the,O
,producer,B-E
,of,O
,the,O
,song,B-E
,which,O
,is,O
,the,O
,previous,B-E
,work,I-E
,of,O
,He's,B-E
,a,I-E
,Liar,I-E
,?,O
Sentence: 2801,What,O
,is,O
,the,O
,river,B-E
,whose,O
,source,B-E
,mountain,I-E
,is,O
,Baikal,B-E
,Mountains,I-E
,and,O
,river,B-E
,mouth,I-E
,is,O
,Lena,B-E
,Delta,I-E
,Wildlife,I-E
,Reserve,I-E
,?,O
Sentence: 2802,How,O
,many,O
,universities,B-E
,are,O
,there,O
,whose,O
,nation's,B-E
,leader,B-E
,name,I-E
,is,O
,Olemic,B-E
,Thommessen,I-E
,?,O
Sentence: 2803,What,O
,is,O
,the,O
,street,B-E
,address,I-E
,of,O
,Renaissance,O
,Center,O
,?,O
Sentence: 2804,What,O
,is,O
,the,O
,publisher,B-E
,of,O
,the,O
,Stone,B-E
,Canoe,I-E
,and,O
,plays,B-E
,for,I-E
,of,O
,the,O
,Michael,B-E
,Powell,I-E
,(lacrosse),I-E
Sentence: 2805,What,O
,is,O
,the,O
,Team,B-E
,Name,I-E
,of,O
,the,O
,Cristo,B-E
,Rey,I-E
,Jesuit,I-E
,High,I-E
,School,I-E
,(Chicago),I-E
,and,O
,mascot,B-E
,of,O
,the,O
,Galatasaray,B-E
,Handball,I-E
,Team,I-E
Sentence: 2806,What,O
,is,O
,the,O
,alma,B-E
,mater,I-E
,of,O
,the,O
,writer,B-E
,who,O
,is,O
,the,O
,writers,B-E
,of,O
,Letter,B-E
,to,I-E
,a,I-E
,Christian,I-E
,Nation,I-E
,?,O
Sentence: 2807,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,producer,B-E
,is,O
,Erik,B-E
,Bork,I-E
,?,O
Sentence: 2808,What,O
,are,O
,the,O
,information,B-E
,appliances,I-E
,whose,O
,mfr's,B-E
,founders,B-E
,is,O
,Terry,B-E
,Gou,I-E
,?,O
Sentence: 2809,What,O
,is,O
,the,O
,party,B-E
,of,O
,the,O
,Siddhartha,B-E
,Shankar,I-E
,Ray,I-E
,and,O
,political,B-E
,party,I-E
,of,O
,the,O
,Kamla,B-E
,Beniwal,I-E
Sentence: 2810,How,O
,many,O
,books,B-E
,are,O
,there,O
,whose,O
,authors's,B-E
,resting,B-E
,place,I-E
,is,O
,Madrid,B-E
,?,O
Sentence: 2811,What,O
,are,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,writer's,B-E
,notable,B-E
,work,I-E
,is,O
,Band,B-E
,of,I-E
,Brothers,I-E
,(miniseries),I-E
,?,O
Sentence: 2812,What,O
,is,O
,the,O
,political,B-E
,party,I-E
,of,O
,the,O
,person,B-E
,who,O
,is,O
,the,O
,writer,B-E
,of,O
,In,B-E
,the,I-E
,Bazaars,I-E
,of,I-E
,Hyderabad,I-E
,?,O
Sentence: 2813,Count,O
,the,O
,number,O
,of,O
,species,B-E
,of,O
,the,O
,fish,B-E
,whose,O
,kingdom,B-E
,is,O
,Animal,B-E
,.,O
Sentence: 2814,What,O
,is,O
,the,O
,area,B-E
,of,O
,the,O
,broadcast,B-E
,network,I-E
,whose,O
,affiliation,B-E
,is,O
,ETC,B-E
,(TV,I-E
,channel),I-E
,?,O
Sentence: 2815,What,O
,is,O
,the,O
,sea,B-E
,whose,O
,nearest,B-E
,city,I-E
,is,O
,Helsinki,B-E
,?,O
Sentence: 2816,Who,O
,is,O
,the,O
,Formula,B-E
,One,I-E
,racer,I-E
,whose,O
,relatives,B-E
,is,O
,Ralf,B-E
,Schumacher,I-E
,?,O
Sentence: 2817,What,O
,is,O
,the,O
,allegiance,B-E
,of,O
,the,O
,office,B-E
,holder,I-E
,whose,O
,predecessor,B-E
,is,O
,William,B-E
,Ofori,I-E
,Atta,I-E
,?,O
Sentence: 2818,What,O
,is,O
,the,O
,first,B-E
,aired,I-E
,of,O
,the,O
,Gm,B-E
,(TV,I-E
,series),I-E
,and,O
,Ne,B-E
,daj,I-E
,se,I-E
,Nina,I-E
Sentence: 2819,Is,O
,Society,B-E
,Islands,I-E
,the,O
,archipelago,B-E
,of,O
,Tahiti,B-E
,?,O
Sentence: 2820,What,O
,is,O
,the,O
,prize,B-E
,awarded,I-E
,of,O
,Bruce,O
,Beutler,O
,?,O
Sentence: 2821,What,O
,is,O
,the,O
,book,B-E
,whose,O
,publisher,B-E
,is,O
,Thomas,B-E
,Egerton,I-E
,(publisher),I-E
,?,O
Sentence: 2822,What,O
,is,O
,the,O
,origin,B-E
,of,O
,Mavro,O
,?,O
Sentence: 2823,What,O
,is,O
,the,O
,burial,B-E
,place,I-E
,of,O
,Iyoas,O
,I,O
,?,O
Sentence: 2824,What,O
,is,O
,the,O
,known,B-E
,for,I-E
,of,O
,the,O
,Advocate,B-E
,Nasiruddin,I-E
,and,O
,sport,B-E
,of,O
,the,O
,Polytechnic,B-E
,University,I-E
,of,I-E
,the,I-E
,Philippines,I-E
,San,I-E
,Juan,I-E
Sentence: 2825,What,O
,is,O
,the,O
,river,B-E
,whose,O
,river,B-E
,mouth,I-E
,is,O
,Indian,B-E
,Ocean,I-E
,and,O
,source,B-E
,country,I-E
,is,O
,Zambia,B-E
,?,O
Sentence: 2826,What,O
,is,O
,the,O
,commander,B-E
,of,O
,the,O
,military,B-E
,conflicts,I-E
,whose,O
,place,B-E
,is,O
,Ohio,B-E
,?,O
Sentence: 2827,What,O
,is,O
,the,O
,information,B-E
,appliance,I-E
,whose,O
,builders,B-E
,are,O
,Sony,B-E
,and,O
,Asus,B-E
,?,O
Sentence: 2828,How,O
,many,O
,ethnic,B-E
,groups,I-E
,are,O
,there,O
,whose,O
,Languages,B-E
,is,O
,English,B-E
,language,I-E
,?,O
Sentence: 2829,What,O
,is,O
,the,O
,source,B-E
,of,O
,the,O
,Raa,B-E
,(river),I-E
,and,O
,sovereign,B-E
,state,I-E
,of,O
,the,O
,Adriatic,B-E
,Sea,I-E
Sentence: 2830,What,O
,is,O
,the,O
,founded,B-E
,of,O
,Congress,O
,of,O
,Industrial,O
,Organizations,O
,?,O
Sentence: 2831,Who,O
,are,O
,the,O
,american,B-E
,football,I-E
,players,I-E
,whose,O
,former,B-E
,team,I-E
,is,O
,Toronto,B-E
,Argonauts,I-E
,?,O
Sentence: 2832,What,O
,is,O
,the,O
,religious,B-E
,affiliation,I-E
,of,O
,the,O
,Neungin,B-E
,High,I-E
,School,I-E
,and,O
,fields,B-E
,of,O
,the,O
,Sylvain,B-E
,Lvi,I-E
Sentence: 2833,Give,O
,me,O
,a,O
,count,O
,of,O
,movies,B-E
,whose,O
,distributor,B-E
,is,O
,Warner,B-E
,Bros.,I-E
,?,O
Sentence: 2834,What,O
,is,O
,the,O
,magazine,B-E
,whose,O
,founded,B-E
,is,O
,Jann,B-E
,Wenner,I-E
,?,O
Sentence: 2835,What,O
,is,O
,the,O
,street,B-E
,address,I-E
,of,O
,the,O
,hotel,B-E
,which,O
,is,O
,the,O
,venue,B-E
,of,O
,History,B-E
,of,I-E
,Penny,I-E
,Arcade,I-E
,Expo,I-E
,?,O
Sentence: 2836,What,O
,is,O
,the,O
,parent,B-E
,company,I-E
,of,O
,Chevrolet,O
,Spark,O
,?,O
Sentence: 2837,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,distributed,B-E
,by,I-E
,is,O
,Broadcast,B-E
,syndication,I-E
,and,O
,network,B-E
,is,O
,Comedy,B-E
,Central,I-E
,?,O
Sentence: 2838,What,O
,is,O
,the,O
,incumbent,B-E
,of,O
,the,O
,politician,B-E
,whose,O
,opponent,B-E
,is,O
,Benjamin,B-E
,Spock,I-E
,?,O
Sentence: 2839,What,O
,are,O
,the,O
,other,O
,major,B-E
,shrine,I-E
,of,O
,the,O
,saints,B-E
,whose,O
,major,B-E
,shrine,I-E
,is,O
,Pozna,B-E
Sentence: 2840,What,O
,is,O
,the,O
,headquarters,B-E
,of,O
,the,O
,public,B-E
,transit,I-E
,system,I-E
,which,O
,is,O
,the,O
,operator,B-E
,of,O
,Metro,B-E
,Blue,I-E
,Line,I-E
,(Minnesota),I-E
,?,O
Sentence: 2841,How,O
,many,O
,office,B-E
,holders,I-E
,are,O
,there,O
,whose,O
,military,B-E
,branch,I-E
,is,O
,Continental,B-E
,Army,I-E
,?,O
Sentence: 2842,List,O
,the,O
,faith,B-E
,of,O
,the,O
,office,B-E
,holders,I-E
,whose,O
,military,B-E
,branch,I-E
,is,O
,Royal,B-E
,Thai,I-E
,Army,I-E
,.,O
Sentence: 2843,What,O
,senator's,B-E
,military,B-E
,unit,I-E
,is,O
,VMF-155,B-E
Sentence: 2844,What,O
,are,O
,the,O
,movies,B-E
,whose,O
,music,B-E
,composer,I-E
,is,O
,Vangelis,B-E
,?,O
Sentence: 2845,What,O
,is,O
,the,O
,wine,B-E
,region,I-E
,of,O
,the,O
,grapes,B-E
,whose,O
,species,B-E
,is,O
,Vitis,B-E
,vinifera,I-E
,?,O
Sentence: 2846,What,O
,is,O
,the,O
,binomial,B-E
,authority,I-E
,of,O
,the,O
,Menetries's,B-E
,warbler,I-E
,and,O
,nationality,B-E
,of,O
,the,O
,Jeyhun,B-E
,Abiyev,I-E
Sentence: 2847,What,O
,is,O
,the,O
,publisher,B-E
,of,O
,The,O
,Rolling,O
,Stone,O
,Album,O
,Guide,O
,?,O
Sentence: 2848,What,O
,is,O
,the,O
,name,B-E
,of,O
,the,O
,soccer,B-E
,clubs,I-E
,whose,O
,season,B-E
,is,O
,Liga,B-E
,Divisi,I-E
,Utama,I-E
,?,O
Sentence: 2849,Count,O
,the,O
,services,B-E
,in,O
,21Vianet,B-E
,?,O
Sentence: 2850,What,O
,is,O
,the,O
,Location,B-E
,of,O
,the,O
,Dofinivka,B-E
,Estuary,I-E
,and,O
,birthplace,B-E
,of,O
,the,O
,Liliya,B-E
,Lobanova,I-E
Sentence: 2851,What,O
,is,O
,the,O
,former,B-E
,team,I-E
,of,O
,the,O
,american,B-E
,football,I-E
,players,I-E
,whose,O
,position,B-E
,is,O
,Tackle,B-E
,(gridiron,I-E
,football,I-E
,position),I-E
,?,O
Sentence: 2852,What,O
,is,O
,the,O
,subject,B-E
,of,O
,the,O
,book,B-E
,which,O
,is,O
,the,O
,subsequent,B-E
,work,I-E
,of,O
,The,B-E
,Dragons,I-E
,of,I-E
,Eden,I-E
,?,O
Sentence: 2853,What,O
,is,O
,the,O
,television,B-E
,show,I-E
,whose,O
,channel,B-E
,is,O
,Fox,B-E
,Broadcasting,I-E
,Company,I-E
,and,O
,judges,B-E
,is,O
,Harry,B-E
,Connick,I-E
,Jr.,I-E
,?,O
Sentence: 2854,List,O
,the,O
,tunnel,B-E
,under,I-E
,of,O
,the,O
,bridges,B-E
,whose,O
,design,B-E
,is,O
,Box,B-E
,girder,I-E
,bridge,I-E
,.,O
Sentence: 2855,What,O
,is,O
,the,O
,written,B-E
,by,I-E
,of,O
,the,O
,Karakuri,B-E
,Dji,I-E
,Ultimo,I-E
,and,O
,narrated,B-E
,of,O
,the,O
,The,B-E
,Incredible,I-E
,Hulk,I-E
,(1982,I-E
,TV,I-E
,series),I-E
Sentence: 2856,What,O
,is,O
,the,O
,university,B-E
,attended,I-E
,of,O
,the,O
,Donn,B-E
,Barber,I-E
,and,O
,edu,B-E
,of,O
,the,O
,Jack,B-E
,McGregor,I-E
Sentence: 2857,What,O
,is,O
,the,O
,Location,B-E
,of,O
,the,O
,lake,B-E
,whose,O
,outflow,B-E
,is,O
,Winnipeg,B-E
,River,I-E
,?,O
Sentence: 2858,What,O
,is,O
,the,O
,owl,B-E
,whose,O
,neighboring,B-E
,municipalitiess,I-E
,are,O
,Cologny,B-E
,and,O
,Chne-Bougeries,B-E
,?,O
Sentence: 2859,What,O
,is,O
,the,O
,designer,B-E
,of,O
,Saleen,O
,S5S,O
,Raptor,O
,?,O
Sentence: 2860,What,O
,is,O
,the,O
,newspaper,B-E
,whose,O
,owners,B-E
,is,O
,Schibsted,B-E
,and,O
,headquarters,B-E
,is,O
,Stockholm,B-E
,?,O
Sentence: 2861,How,O
,many,O
,other,O
,other,B-E
,party,I-E
,are,O
,there,O
,of,O
,the,O
,office,B-E
,holders,I-E
,whose,O
,other,B-E
,party,I-E
,is,O
,Janata,B-E
,Dal,I-E
,?,O
Sentence: 2862,Who,O
,is,O
,the,O
,first,B-E
,driver,I-E
,of,O
,1999,O
,San,O
,Marino,O
,Grand,O
,Prix,O
,?,O
Sentence: 2863,What,O
,is,O
,the,O
,scientist,B-E
,whose,O
,doctoral,B-E
,students,I-E
,are,O
,Erich,B-E
,Bagge,I-E
,and,O
,erban,B-E
,ieica,I-E
,?,O
Sentence: 2864,List,O
,the,O
,combatant,B-E
,of,O
,the,O
,military,B-E
,conflicts,I-E
,whose,O
,commander,B-E
,is,O
,Egushawa,B-E
,.,O
Sentence: 2865,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,known,B-E
,for,I-E
,of,O
,the,O
,people,B-E
,whose,O
,nationality,B-E
,is,O
,Canadians,B-E
,?,O
Sentence: 2866,What,O
,is,O
,the,O
,largest,B-E
,city,I-E
,of,O
,Union,O
,State,O
,?,O
Sentence: 2867,What,O
,is,O
,the,O
,member,B-E
,of,I-E
,sports,I-E
,team,I-E
,of,O
,the,O
,Michael,B-E
,Powell,I-E
,(lacrosse),I-E
,and,O
,parent,B-E
,of,O
,the,O
,Syracuse,B-E
,University,I-E
,Press,I-E
Sentence: 2868,Is,O
,Greg,B-E
,Weeks,I-E
,the,O
,band,B-E
,member,I-E
,of,O
,Beyond,B-E
,the,I-E
,Sixth,I-E
,Seal,I-E
,?,O
Sentence: 2869,How,O
,many,O
,television,B-E
,shows,I-E
,are,O
,there,O
,whose,O
,presenter,B-E
,is,O
,Ryan,B-E
,Seacrest,I-E
,?,O
Sentence: 2870,Is,O
,Henry,B-E
,Ford,I-E
,the,O
,designer,B-E
,company,I-E
,of,O
,Ford,B-E
,Model,I-E
,K,I-E
,?,O
Sentence: 2871,What,O
,is,O
,the,O
,total,O
,number,O
,of,O
,tenant,B-E
,of,O
,the,O
,stadia,B-E
,whose,O
,architect,B-E
,is,O
,Populous,B-E
,(company),I-E
,?,O
Sentence: 2872,What,O
,is,O
,the,O
,judges,B-E
,of,O
,the,O
,television,B-E
,shows,I-E
,whose,O
,network,B-E
,is,O
,CTV,B-E
,Television,I-E
,Network,I-E
,?,O
Sentence: 2873,How,O
,many,O
,american,B-E
,football,I-E
,players,I-E
,are,O
,there,O
,whose,O
,former,B-E
,teams,I-E
,are,O
,Indianapolis,B-E
,Colts,I-E
,and,O
,Carolina,B-E
,Panthers,I-E
,?,O
Sentence: 2874,What,O
,are,O
,the,O
,movies,B-E
,whose,O
,distributed,B-E
,by's,I-E
,key,B-E
,people,I-E
,is,O
,Ted,B-E
,Hartley,I-E
,?,O
Sentence: 2875,What,O
,is,O
,the,O
,stadium,B-E
,of,O
,201415,O
,Panionios,O
,G.S.S.,O
,season,O
,?,O
Sentence: 2876,Is,O
,Art,B-E
,Deco,I-E
,the,O
,architecture,B-E
,of,O
,Mount,B-E
,St.,I-E
,Peter,I-E
,Church,I-E
,?,O
Sentence: 2877,What,O
,is,O
,the,O
,edited,B-E
,by,I-E
,of,O
,the,O
,newspaper,B-E
,whose,O
,owners,B-E
,is,O
,Government,B-E
,of,I-E
,the,I-E
,United,I-E
,Kingdom,I-E
,?,O
Sentence: 2878,What,O
,is,O
,the,O
,movie,B-E
,whose,O
,movie,B-E
,director,I-E
,is,O
,Stanley,B-E
,Kubrick,I-E
,and,O
,music,B-E
,is,O
,Laurie,B-E
,Johnson,I-E
,?,O
Sentence: 2879,What,O
,are,O
,the,O
,type,B-E
,of,O
,Greenup,O
,County,O
,High,O
,School,O
,?,O
Sentence: 2880,What,O
,is,O
,the,O
,route,B-E
,start,I-E
,of,O
,the,O
,road,B-E
,whose,O
,route,B-E
,end,I-E
,is,O
,Madison,B-E
,Wisconsin,I-E
,?,O
Sentence: 2881,What,O
,is,O
,the,O
,label,B-E
,of,O
,the,O
,The,B-E
,Producers,I-E
,(2005,I-E
,film),I-E
,and,O
,I,B-E
,Pray,I-E
,on,I-E
,Christmas,I-E
Sentence: 2882,What,O
,is,O
,the,O
,sovereign,B-E
,state,I-E
,of,O
,the,O
,ambassador,B-E
,who,O
,is,O
,the,O
,successor,B-E
,of,O
,George,B-E
,Roberts,I-E
,Andrews,I-E
,?,O
Sentence: 2883,What,O
,military,B-E
,conflicts's,I-E
,commander,B-E
,is,O
,Colin,B-E
,Powell,I-E
Sentence: 2884,What,O
,is,O
,the,O
,territory,B-E
,of,O
,the,O
,Sino-French,B-E
,War,I-E
,and,O
,Tonkin,B-E
,Campaign,I-E
Sentence: 2885,What,O
,is,O
,the,O
,label,B-E
,of,O
,Next,O
,Thing,O
,?,O
Sentence: 2886,Is,O
,Lancy,B-E
,the,O
,neighboring,B-E
,municipality,I-E
,of,O
